timestamp, current1, current2, current3, current4, accelx, accely, accelz, degrees x, degrees y, degrees z, baro temp, baro pressure
140291903, 0.114741, 0.049834, 0.193901, 0.702393, -0.17614, 8.06573, -6.13309, 0.38147, -0.366211, -0.106812, 0, 0
140291913, 0.113921, 0.049834, 0.193901, 0.702393, -0.212835, 8.12933, -6.07437, -0.411987, 0.137329, 0.183105, 0, 0
140291923, 0.113921, 0.0472705, 0.192671, 0.702393, -0.0709451, 7.92384, -6.53185, -0.564575, 0.198364, -0.0457764, 0, 0
140291943, 0.113511, 0.0464502, 0.193491, 0.703623, -0.222621, 8.09998, -6.1233, -0.396728, 0.0915527, 0.213623, 0, 0
140291953, 0.115562, 0.0468603, 0.191338, 0.699829, -0.0929626, 8.03882, -6.47803, -1.2207, 0.106812, -0.0305176, 0, 0
140291963, 0.114331, 0.0468603, 0.190107, 0.699829, -0.0905162, 7.95075, -6.27742, 0.808716, -0.183105, -0.366211, 0, 0
140291973, 0.114331, 0.0456299, 0.190107, 0.704443, -0.227514, 7.97032, -6.09639, 0.396728, 0.0457764, 0.137329, 0, 0
140291983, 0.112998, 0.0480908, 0.190928, 0.699829, -0.146783, 7.98255, -6.5294, -0.534058, 0.244141, 0.228882, 0, 0
140291993, 0.112588, 0.0480908, 0.191338, 0.701572, -0.110087, 7.9801, -6.47069, -0.0152588, -0.0915527, -0.213623, 0, 0
140292003, 0.112998, 0.0489111, 0.191338, 0.701982, -0.215282, 8.1538, -6.02789, 0.213623, -0.213623, 0, 0, 0
140292023, 0.112178, 0.048501, 0.191338, 0.702393, -0.0611596, 7.848, -6.52695, 0.106812, 0.0457764, -0.0762939, 0, 0
140292033, 0.112998, 0.0480908, 0.190928, 0.702803, -0.173693, 7.94586, -6.25785, 0.747681, -0.183105, -0.0457764, 0, 0
140292043, 0.112588, 0.048501, 0.190928, 0.704033, -0.171247, 8.13912, -6.1918, -1.0376, 0.183105, 0.183105, 0, 0
140292053, 0.116382, 0.049834, 0.191338, 0.700752, -0.0660524, 7.96298, -6.52695, -0.62561, 0.0762939, -0.183105, 0, 0
140292063, 0.110947, 0.049834, 0.191338, 0.704033, -0.151676, 7.96053, -6.13064, 0.88501, -0.213623, -0.152588, 0, 0
140292073, 0.110947, 0.0489111, 0.191338, 0.704033, -0.225067, 8.01191, -6.18691, -0.0915527, 0.12207, 0.305176, 0, 0
140292083, 0.110947, 0.048501, 0.192671, 0.703623, -0.119873, 7.93362, -6.66395, -0.518799, 0.12207, -0.0152588, 0, 0
140292093, 0.112588, 0.0468603, 0.193901, 0.701572, -0.166354, 7.99234, -6.27008, 0.289917, -0.289917, -0.213623, 0, 0
140292113, 0.113511, 0.0489111, 0.191338, 0.701982, -0.107641, 8.01435, -6.45112, -0.793457, 0.289917, -0.167847, 0, 0
140292123, 0.112588, 0.0489111, 0.191338, 0.701982, -0.0807307, 7.93607, -6.41931, 0.62561, -0.106812, 0.0915527, 0, 0
140292133, 0.112588, 0.0472705, 0.190928, 0.701572, -0.215282, 8.0853, -6.18935, 0.106812, -0.137329, 0.137329, 0, 0
140292143, 0.112588, 0.0480908, 0.188057, 0.702803, -0.127212, 8.09019, -6.33858, -1.34277, 0.228882, -0.244141, 0, 0
140292153, 0.112178, 0.0476807, 0.192158, 0.703213, -0.0733915, 7.95564, -6.39974, 0.244141, -0.137329, 0.0610352, 0, 0
140292163, 0.112998, 0.0476807, 0.191748, 0.702393, -0.205496, 7.9801, -6.05969, 0.671387, -0.0915527, 0.198364, 0, 0
140292173, 0.112588, 0.0476807, 0.190518, 0.702393, -0.183479, 7.97521, -6.38751, -0.366211, 0.198364, -0.152588, 0, 0
140292193, 0.112998, 0.0494238, 0.190518, 0.700239, -0.173693, 8.0853, -6.0866, 0.335693, -0.350952, 0.183105, 0, 0
